asteroid number,asteroid name,wavelength,reflectance,uncertainty
1284,latvia,0.6525,0.79714,0.25659
1284,latvia,0.6547,0.80371,0.24278
1284,latvia,0.6591,0.77832,0.21964
1284,latvia,0.6613,0.79590,0.21934
1284,latvia,0.6656,0.77024,0.20692
1284,latvia,0.6677,0.78499,0.20363
1284,latvia,0.6721,0.78931,0.19454
1284,latvia,0.6742,0.80662,0.21542
1284,latvia,0.6764,0.81084,0.20108
1284,latvia,0.6785,0.79479,0.19228
1284,latvia,0.6807,0.77499,0.18230
1284,latvia,0.6828,0.80400,0.19253
1284,latvia,0.6849,0.79441,0.19323
1284,latvia,0.6871,0.80833,0.19111
1284,latvia,0.6893,0.81211,0.17622
1284,latvia,0.6914,0.81186,0.17790
1284,latvia,0.6936,0.83969,0.17418
1284,latvia,0.6957,0.80095,0.16800
1284,latvia,0.6979,0.80689,0.16621
1284,latvia,0.7001,0.80217,0.16582
1284,latvia,0.7023,0.78291,0.15837
1284,latvia,0.7045,0.83069,0.16209
1284,latvia,0.7067,0.82378,0.15812
1284,latvia,0.7088,0.81146,0.15211
1284,latvia,0.7111,0.82567,0.15098
1284,latvia,0.7133,0.84090,0.15350
1284,latvia,0.7155,0.81556,0.14654
1284,latvia,0.7178,0.80784,0.14644
1284,latvia,0.7200,0.82121,0.14651
1284,latvia,0.7223,0.84368,0.14563
1284,latvia,0.7246,0.81600,0.14033
1284,latvia,0.7268,0.80292,0.14050
1284,latvia,0.7291,0.82297,0.13811
1284,latvia,0.7315,0.84101,0.14151
1284,latvia,0.7338,0.82767,0.13610
1284,latvia,0.7361,0.80441,0.13293
1284,latvia,0.7385,0.82029,0.13209
1284,latvia,0.7409,0.84833,0.13359
1284,latvia,0.7432,0.82829,0.12859
1284,latvia,0.7456,0.83490,0.13051
1284,latvia,0.7480,0.83409,0.12684
1284,latvia,0.7505,0.82996,0.12712
1284,latvia,0.7529,0.85616,0.12697
1284,latvia,0.7554,0.84755,0.12978
1284,latvia,0.7579,0.85838,0.13333
1284,latvia,0.7604,0.83636,0.13593
1284,latvia,0.7629,0.81235,0.13148
1284,latvia,0.7654,0.83798,0.13139
1284,latvia,0.7680,0.84228,0.12489
1284,latvia,0.7705,0.84606,0.12146
1284,latvia,0.7731,0.82534,0.11868
1284,latvia,0.7757,0.85011,0.12099
1284,latvia,0.7783,0.85287,0.11959
1284,latvia,0.7810,0.84466,0.12054
1284,latvia,0.7836,0.86054,0.12058
1284,latvia,0.7863,0.83539,0.11680
1284,latvia,0.7890,0.83847,0.11702
1284,latvia,0.7917,0.84039,0.11708
1284,latvia,0.7944,0.86008,0.11752
1284,latvia,0.7972,0.84430,0.11724
1284,latvia,0.7999,0.84660,0.11617
1284,latvia,0.8027,0.85849,0.11748
1284,latvia,0.8055,0.86211,0.11605
1284,latvia,0.8083,0.86227,0.12066
1284,latvia,0.8112,0.86594,0.11642
1284,latvia,0.8141,0.86605,0.11726
1284,latvia,0.8169,0.84457,0.11397
1284,latvia,0.8198,0.86567,0.11706
1284,latvia,0.8228,0.85967,0.11512
1284,latvia,0.8257,0.85119,0.11530
1284,latvia,0.8287,0.84725,0.11336
1284,latvia,0.8317,0.84887,0.11523
1284,latvia,0.8347,0.85862,0.11466
1284,latvia,0.8377,0.86659,0.11577
1284,latvia,0.8407,0.86243,0.11393
1284,latvia,0.8438,0.85311,0.11308
1284,latvia,0.8469,0.87388,0.11490
1284,latvia,0.8500,0.87537,0.11630
1284,latvia,0.8531,0.87877,0.11465
1284,latvia,0.8562,0.86662,0.11404
1284,latvia,0.8594,0.86802,0.11286
1284,latvia,0.8626,0.86030,0.11294
1284,latvia,0.8658,0.86948,0.11304
1284,latvia,0.8690,0.86764,0.11340
1284,latvia,0.8722,0.86267,0.11197
1284,latvia,0.8755,0.87891,0.11343
1284,latvia,0.8788,0.88123,0.11300
1284,latvia,0.8821,0.87623,0.11406
1284,latvia,0.8854,0.86381,0.11144
1284,latvia,0.8887,0.88172,0.11415
1284,latvia,0.8921,0.87653,0.11197
1284,latvia,0.8954,0.87693,0.11283
1284,latvia,0.8988,0.87896,0.11112
1284,latvia,0.9022,0.88950,0.11271
1284,latvia,0.9056,0.86702,0.10969
1284,latvia,0.9091,0.88185,0.11094
1284,latvia,0.9125,0.87731,0.10993
1284,latvia,0.9160,0.88736,0.11131
1284,latvia,0.9195,0.88069,0.10985
1284,latvia,0.9230,0.89444,0.11204
1284,latvia,0.9266,0.89093,0.11141
1284,latvia,0.9301,0.88563,0.11248
1284,latvia,0.9337,0.87334,0.11261
1284,latvia,0.9373,0.87307,0.11340
1284,latvia,0.9409,0.87866,0.11196
1284,latvia,0.9445,0.89519,0.11362
1284,latvia,0.9481,0.88847,0.11163
1284,latvia,0.9517,0.89395,0.11232
1284,latvia,0.9554,0.88261,0.11000
1284,latvia,0.9591,0.90160,0.11156
1284,latvia,0.9628,0.90284,0.11056
1284,latvia,0.9665,0.88852,0.10919
1284,latvia,0.9702,0.88847,0.10813
1284,latvia,0.9740,0.88858,0.10837
1284,latvia,0.9777,0.89290,0.10813
1284,latvia,0.9815,0.89241,0.10799
1284,latvia,0.9853,0.89363,0.10802
1284,latvia,0.9891,0.88901,0.10846
1284,latvia,0.9929,0.91119,0.11043
1284,latvia,0.9968,0.90538,0.11022
1284,latvia,1.0006,0.90354,0.10959
1284,latvia,1.0045,0.90892,0.11006
1284,latvia,1.0083,0.91162,0.10980
1284,latvia,1.0122,0.89557,0.10885
1284,latvia,1.0161,0.90746,0.10988
1284,latvia,1.0200,0.88804,0.10790
1284,latvia,1.0239,0.88552,0.10826
1284,latvia,1.0279,0.88850,0.10791
1284,latvia,1.0318,0.89528,0.10795
1284,latvia,1.0358,0.90238,0.10910
1284,latvia,1.0398,0.89325,0.10780
1284,latvia,1.0437,0.90451,0.10867
1284,latvia,1.0477,0.90443,0.10762
1284,latvia,1.0517,0.90438,0.10766
1284,latvia,1.0558,0.89268,0.10565
1284,latvia,1.0598,0.91751,0.10792
1284,latvia,1.0638,0.90243,0.10644
1284,latvia,1.0679,0.89792,0.10716
1284,latvia,1.0720,0.90511,0.10769
1284,latvia,1.0760,0.91167,0.10937
1284,latvia,1.0801,0.90025,0.10849
1284,latvia,1.0842,0.91975,0.11047
1284,latvia,1.0883,0.93358,0.11217
1284,latvia,1.0924,0.91381,0.11079
1284,latvia,1.0965,0.91699,0.11042
1284,latvia,1.1007,0.91834,0.11009
1284,latvia,1.1048,0.92164,0.10930
1284,latvia,1.1089,0.92304,0.10911
1284,latvia,1.1131,0.92483,0.10865
1284,latvia,1.1173,0.91986,0.10897
1284,latvia,1.1214,0.91867,0.10859
1284,latvia,1.1256,0.92445,0.11065
1284,latvia,1.1298,0.92415,0.11129
1284,latvia,1.1340,0.92580,0.11155
1284,latvia,1.1382,0.93093,0.11290
1284,latvia,1.1424,0.90919,0.11051
1284,latvia,1.1466,0.91883,0.11136
1284,latvia,1.1508,0.92148,0.11179
1284,latvia,1.1550,0.92253,0.11122
1284,latvia,1.1593,0.92383,0.11098
1284,latvia,1.1635,0.93242,0.11029
1284,latvia,1.1677,0.92823,0.10950
1284,latvia,1.1720,0.92688,0.10776
1284,latvia,1.1762,0.92502,0.10688
1284,latvia,1.1805,0.93261,0.10722
1284,latvia,1.1847,0.92650,0.10635
1284,latvia,1.1890,0.92777,0.10661
1284,latvia,1.1933,0.93361,0.10879
1284,latvia,1.1975,0.93690,0.11049
1284,latvia,1.2018,0.94733,0.11245
1284,latvia,1.2061,0.92537,0.11039
1284,latvia,1.2104,0.93928,0.11174
1284,latvia,1.2147,0.93090,0.11034
1284,latvia,1.2190,0.94644,0.11293
1284,latvia,1.2233,0.93895,0.11129
1284,latvia,1.2276,0.94371,0.11199
1284,latvia,1.2319,0.94587,0.11214
1284,latvia,1.2362,0.94916,0.11171
1284,latvia,1.2405,0.94695,0.11048
1284,latvia,1.2448,0.95324,0.11047
1284,latvia,1.2491,0.95705,0.11082
1284,latvia,1.2534,0.95022,0.11196
1284,latvia,1.2577,0.94576,0.11351
1284,latvia,1.2620,0.94719,0.12058
1284,latvia,1.2663,0.94090,0.12560
1284,latvia,1.2707,0.94935,0.13066
1284,latvia,1.2750,0.93163,0.12867
1284,latvia,1.2793,0.95392,0.12514
1284,latvia,1.2836,0.95432,0.12104
1284,latvia,1.2879,0.95006,0.11756
1284,latvia,1.2922,0.96021,0.11600
1284,latvia,1.2966,0.95605,0.11672
1284,latvia,1.3009,0.95621,0.11496
1284,latvia,1.3052,0.96637,0.11632
1284,latvia,1.3095,0.94617,0.11489
1284,latvia,1.3138,0.96732,0.11695
1284,latvia,1.3181,0.95211,0.11401
1284,latvia,1.3225,0.96102,0.11383
1284,latvia,1.3268,0.95648,0.11311
1284,latvia,1.3311,0.96572,0.11314
1284,latvia,1.3354,0.97358,0.11388
1284,latvia,1.3397,0.96645,0.11351
1284,latvia,1.3440,0.99260,0.11665
1284,latvia,1.3483,0.98533,0.11913
1284,latvia,1.3526,0.97672,0.12193
1284,latvia,1.3569,0.96297,0.12758
1284,latvia,1.3612,0.93814,0.13948
1284,latvia,1.3655,0.94357,0.14689
1284,latvia,1.3698,0.94727,0.13852
1284,latvia,1.3741,0.97388,0.13786
1284,latvia,1.3784,0.94201,0.13614
1284,latvia,1.3827,0.95878,0.13680
1284,latvia,1.3870,0.97663,0.13857
1284,latvia,1.3913,0.96305,0.13476
1284,latvia,1.3956,0.97183,0.13740
1284,latvia,1.3998,0.95203,0.13806
1284,latvia,1.4041,0.94968,0.14066
1284,latvia,1.4084,0.96202,0.14252
1284,latvia,1.4126,0.94833,0.14140
1284,latvia,1.4169,0.96121,0.13789
1284,latvia,1.4212,0.98423,0.13242
1284,latvia,1.4254,0.98133,0.12888
1284,latvia,1.4297,0.96264,0.12639
1284,latvia,1.4339,0.99022,0.12939
1284,latvia,1.4382,0.99192,0.13770
1284,latvia,1.4424,0.97488,0.12687
1284,latvia,1.4466,0.98652,0.12973
1284,latvia,1.4509,0.99222,0.13381
1284,latvia,1.4551,0.99962,0.13724
1284,latvia,1.4593,0.99760,0.13772
1284,latvia,1.4635,0.98655,0.13427
1284,latvia,1.4677,0.98301,0.13326
1284,latvia,1.4720,0.98358,0.13380
1284,latvia,1.4762,0.99365,0.13575
1284,latvia,1.4804,0.99249,0.13695
1284,latvia,1.4845,0.96305,0.13731
1284,latvia,1.4887,0.98444,0.13568
1284,latvia,1.4929,0.99573,0.13173
1284,latvia,1.4971,0.99530,0.12840
