asteroid number,asteroid name,wavelength,reflectance,uncertainty
121,hermione,0.6844,0.88571,0.00501
121,hermione,0.6854,0.88428,0.00413
121,hermione,0.6865,0.88019,0.00484
121,hermione,0.6876,0.88476,0.00444
121,hermione,0.6887,0.88571,0.00509
121,hermione,0.6899,0.88628,0.00383
121,hermione,0.6911,0.88742,0.00476
121,hermione,0.6924,0.88571,0.00436
121,hermione,0.6937,0.88580,0.00405
121,hermione,0.6950,0.88504,0.00341
121,hermione,0.6964,0.88533,0.00354
121,hermione,0.6978,0.88809,0.00406
121,hermione,0.6992,0.88010,0.00412
121,hermione,0.7007,0.88714,0.00413
121,hermione,0.7022,0.88238,0.00428
121,hermione,0.7037,0.88980,0.00348
121,hermione,0.7053,0.88590,0.00460
121,hermione,0.7069,0.88828,0.00444
121,hermione,0.7085,0.88267,0.00354
121,hermione,0.7102,0.88675,0.00436
121,hermione,0.7119,0.88191,0.00420
121,hermione,0.7136,0.88371,0.00412
121,hermione,0.7154,0.88875,0.00369
121,hermione,0.7172,0.88961,0.00279
121,hermione,0.7190,0.88561,0.00322
121,hermione,0.7209,0.88790,0.00335
121,hermione,0.7228,0.88828,0.00328
121,hermione,0.7247,0.88333,0.00460
121,hermione,0.7267,0.88333,0.00361
121,hermione,0.7287,0.89275,0.00342
121,hermione,0.7307,0.89113,0.00305
121,hermione,0.7327,0.88951,0.00335
121,hermione,0.7348,0.88923,0.00329
121,hermione,0.7369,0.89255,0.00300
121,hermione,0.7391,0.88324,0.00612
121,hermione,0.7434,0.89236,0.00414
121,hermione,0.7456,0.89227,0.00311
121,hermione,0.7479,0.89626,0.00301
121,hermione,0.7502,0.89769,0.00318
121,hermione,0.7525,0.89721,0.00357
121,hermione,0.7548,0.89560,0.00324
121,hermione,0.7572,0.89607,0.00290
121,hermione,0.7596,0.89531,0.00300
121,hermione,0.7620,0.89664,0.00350
121,hermione,0.7644,0.90121,0.00331
121,hermione,0.7669,0.90197,0.00338
121,hermione,0.7694,0.90625,0.00303
121,hermione,0.7719,0.90786,0.00320
121,hermione,0.7745,0.90577,0.00292
121,hermione,0.7771,0.90929,0.00309
121,hermione,0.7797,0.91062,0.00294
121,hermione,0.7823,0.91100,0.00276
121,hermione,0.7849,0.91129,0.00333
121,hermione,0.7876,0.91271,0.00448
121,hermione,0.7903,0.91243,0.00321
121,hermione,0.7930,0.91110,0.00289
121,hermione,0.7958,0.91129,0.00387
121,hermione,0.7986,0.90358,0.00319
121,hermione,0.8014,0.91699,0.00388
121,hermione,0.8042,0.91414,0.00310
121,hermione,0.8070,0.91652,0.00367
121,hermione,0.8099,0.91452,0.00281
121,hermione,0.8128,0.91604,0.00300
121,hermione,0.8157,0.91385,0.00299
121,hermione,0.8186,0.91309,0.00280
121,hermione,0.8216,0.91633,0.00316
121,hermione,0.8245,0.92270,0.00287
121,hermione,0.8275,0.91690,0.00286
121,hermione,0.8306,0.92260,0.00348
121,hermione,0.8336,0.92070,0.00361
121,hermione,0.8367,0.91823,0.00367
121,hermione,0.8397,0.91975,0.00411
121,hermione,0.8428,0.92802,0.00313
121,hermione,0.8460,0.91956,0.00382
121,hermione,0.8491,0.92317,0.00283
121,hermione,0.8523,0.91880,0.00301
121,hermione,0.8555,0.92213,0.00279
121,hermione,0.8587,0.91861,0.00295
121,hermione,0.8619,0.91899,0.00282
121,hermione,0.8651,0.92137,0.00342
121,hermione,0.8684,0.92631,0.00276
121,hermione,0.8717,0.92089,0.00291
121,hermione,0.8750,0.92469,0.00283
121,hermione,0.8783,0.92488,0.00288
121,hermione,0.8816,0.92707,0.00397
121,hermione,0.8850,0.92137,0.00291
121,hermione,0.8883,0.92802,0.00343
121,hermione,0.8917,0.92964,0.00384
121,hermione,0.8951,0.92992,0.00285
121,hermione,0.8986,0.92698,0.00308
121,hermione,0.9020,0.93144,0.00314
121,hermione,0.9054,0.92650,0.00376
121,hermione,0.9089,0.93173,0.00524
121,hermione,0.9124,0.93125,0.00405
121,hermione,0.9159,0.93163,0.00304
121,hermione,0.9194,0.93049,0.00634
121,hermione,0.9230,0.93544,0.00371
121,hermione,0.9265,0.92431,0.00283
121,hermione,0.9301,0.93106,0.00499
121,hermione,0.9337,0.92612,0.00293
121,hermione,0.9373,0.92232,0.00312
121,hermione,0.9409,0.91994,0.00341
121,hermione,0.9445,0.92507,0.00302
121,hermione,0.9481,0.92298,0.00307
121,hermione,0.9518,0.93915,0.00813
121,hermione,0.9555,0.93135,0.00475
121,hermione,0.9591,0.94228,0.00346
121,hermione,0.9628,0.93154,0.00285
121,hermione,0.9665,0.93430,0.00266
121,hermione,0.9703,0.93877,0.00414
121,hermione,0.9740,0.92650,0.00802
121,hermione,0.9778,0.92555,0.00397
121,hermione,0.9815,0.94457,0.00438
121,hermione,0.9853,0.93839,0.00321
121,hermione,0.9891,0.94675,0.00347
121,hermione,0.9929,0.94457,0.00359
121,hermione,0.9967,0.94865,0.00307
121,hermione,1.0005,0.94742,0.00446
121,hermione,1.0043,0.95122,0.00374
121,hermione,1.0082,0.94932,0.00286
121,hermione,1.0121,0.95645,0.00287
121,hermione,1.0159,0.95274,0.00295
121,hermione,1.0198,0.95712,0.00349
121,hermione,1.0237,0.94970,0.00486
121,hermione,1.0276,0.94999,0.00394
121,hermione,1.0315,0.94799,0.00353
121,hermione,1.0354,0.95626,0.00280
121,hermione,1.0394,0.95198,0.00283
121,hermione,1.0433,0.95750,0.00362
121,hermione,1.0473,0.95588,0.00295
121,hermione,1.0512,0.95949,0.00281
121,hermione,1.0552,0.95474,0.00295
121,hermione,1.0592,0.95921,0.00284
121,hermione,1.0632,0.95560,0.00283
121,hermione,1.0672,0.95740,0.00281
121,hermione,1.0712,0.95721,0.00389
121,hermione,1.0752,0.96225,0.00293
121,hermione,1.0792,0.95626,0.00280
121,hermione,1.0832,0.96121,0.00285
121,hermione,1.0873,0.95598,0.00287
121,hermione,1.0913,0.96282,0.00504
121,hermione,1.0954,0.96197,0.00383
121,hermione,1.0994,0.96149,0.00297
121,hermione,1.1035,0.95598,0.00291
121,hermione,1.1076,0.96006,0.00356
121,hermione,1.1117,0.95132,0.00319
121,hermione,1.1158,0.95569,0.00300
121,hermione,1.1199,0.94837,0.00360
121,hermione,1.1240,0.95075,0.00341
121,hermione,1.1281,0.95113,0.00282
121,hermione,1.1322,0.95208,0.00308
121,hermione,1.1364,0.94961,0.00290
121,hermione,1.1405,0.95750,0.00300
121,hermione,1.1446,0.95179,0.00313
121,hermione,1.1488,0.96529,0.00472
121,hermione,1.1529,0.96368,0.00397
121,hermione,1.1571,0.96406,0.00344
121,hermione,1.1612,0.96225,0.00321
121,hermione,1.1654,0.97119,0.00497
121,hermione,1.1696,0.96881,0.00303
121,hermione,1.1738,0.97290,0.00308
121,hermione,1.1780,0.97186,0.00279
121,hermione,1.1821,0.97452,0.00288
121,hermione,1.1863,0.97014,0.00308
121,hermione,1.1905,0.97975,0.00498
121,hermione,1.1947,0.97138,0.00291
121,hermione,1.1989,0.97157,0.00340
121,hermione,1.2031,0.97376,0.00292
121,hermione,1.2074,0.97395,0.00285
121,hermione,1.2116,0.97518,0.00372
121,hermione,1.2158,0.98203,0.00306
121,hermione,1.2200,0.97870,0.00278
121,hermione,1.2243,0.98288,0.00400
121,hermione,1.2285,0.98422,0.00291
121,hermione,1.2327,0.98479,0.00280
121,hermione,1.2370,0.98174,0.00306
121,hermione,1.2412,0.98640,0.00307
121,hermione,1.2454,0.98222,0.00342
121,hermione,1.2497,0.98754,0.00368
121,hermione,1.2539,0.98403,0.00311
121,hermione,1.2582,0.98964,0.00460
121,hermione,1.2624,0.98754,0.00303
121,hermione,1.2667,0.98773,0.00312
121,hermione,1.2710,0.98555,0.00430
121,hermione,1.2752,0.99268,0.00402
121,hermione,1.2795,0.99002,0.00368
121,hermione,1.2837,0.99924,0.00447
121,hermione,1.2880,0.99468,0.00294
121,hermione,1.2923,0.99496,0.00318
121,hermione,1.2965,0.98840,0.00308
121,hermione,1.3008,0.99553,0.00376
121,hermione,1.3051,0.99315,0.00309
121,hermione,1.3094,0.98878,0.00308
121,hermione,1.3136,0.99258,0.00453
121,hermione,1.3179,0.99715,0.00298
121,hermione,1.3222,0.98992,0.00300
121,hermione,1.3264,0.99496,0.00345
121,hermione,1.3307,0.99040,0.00395
121,hermione,1.3350,0.99477,0.00323
121,hermione,1.3393,0.99239,0.00446
121,hermione,1.3435,0.99487,0.00424
121,hermione,1.3478,0.98203,0.00452
121,hermione,1.3521,0.98849,0.00641
121,hermione,1.3564,0.97404,0.00435
121,hermione,1.3606,0.95949,0.00382
121,hermione,1.3649,0.95265,0.00395
121,hermione,1.3692,0.96216,0.00397
121,hermione,1.3734,0.97119,0.00546
121,hermione,1.3777,0.96929,0.00358
121,hermione,1.3820,0.96672,0.00419
121,hermione,1.3863,0.97205,0.00385
121,hermione,1.3905,0.97490,0.00435
121,hermione,1.3948,0.97300,0.00385
121,hermione,1.3991,0.97347,0.00399
121,hermione,1.4033,0.97680,0.00406
121,hermione,1.4076,0.97832,0.00379
121,hermione,1.4118,0.98174,0.00400
121,hermione,1.4161,0.98308,0.00387
121,hermione,1.4204,0.98507,0.00349
121,hermione,1.4246,0.98393,0.00298
121,hermione,1.4289,0.98545,0.00326
121,hermione,1.4331,0.98517,0.00355
121,hermione,1.4374,0.98821,0.00344
121,hermione,1.4416,0.98735,0.00303
121,hermione,1.4459,0.99468,0.00417
121,hermione,1.4501,0.99239,0.00409
121,hermione,1.4543,0.99838,0.00376
121,hermione,1.4586,0.99287,0.00446
121,hermione,1.4628,0.99230,0.00438
121,hermione,1.4670,0.98460,0.00298
121,hermione,1.4713,0.99296,0.00300
121,hermione,1.4755,0.99296,0.00356
121,hermione,1.4797,0.99601,0.00324
121,hermione,1.4839,0.99353,0.00297
121,hermione,1.4881,1.00171,0.00358
121,hermione,1.4924,0.99325,0.00318
121,hermione,1.4966,0.99601,0.00305
121,hermione,1.5008,1.00000,0.00390
121,hermione,1.5050,1.00000,0.00306
121,hermione,1.5092,0.99857,0.00358
121,hermione,1.5134,1.00494,0.00353
121,hermione,1.5176,1.00029,0.00315
121,hermione,1.5217,1.00447,0.00307
121,hermione,1.5259,1.00723,0.00331
121,hermione,1.5301,1.00694,0.00348
121,hermione,1.5343,1.00694,0.00372
121,hermione,1.5384,1.00675,0.00600
121,hermione,1.5426,1.00380,0.00384
121,hermione,1.5468,1.01046,0.00332
121,hermione,1.5509,1.00342,0.00550
121,hermione,1.5551,1.00266,0.00296
121,hermione,1.5592,1.00542,0.00326
121,hermione,1.5634,1.00437,0.00316
121,hermione,1.5675,0.99990,0.00447
121,hermione,1.5717,1.00618,0.00347
121,hermione,1.5758,0.99582,0.00305
121,hermione,1.5799,0.99943,0.00377
121,hermione,1.5840,0.98907,0.00344
121,hermione,1.5881,0.99353,0.00484
121,hermione,1.5923,0.99487,0.00323
121,hermione,1.5964,0.99772,0.00340
121,hermione,1.6005,0.99734,0.00389
121,hermione,1.6046,1.00276,0.00592
121,hermione,1.6086,1.00998,0.01101
121,hermione,1.6127,1.00285,0.00463
121,hermione,1.6168,0.99800,0.00383
121,hermione,1.6209,1.00304,0.00325
121,hermione,1.6249,1.00333,0.00336
121,hermione,1.6290,1.00628,0.00378
121,hermione,1.6331,1.00523,0.00326
121,hermione,1.6371,1.01027,0.00360
121,hermione,1.6412,1.00466,0.00478
121,hermione,1.6452,1.00390,0.00321
121,hermione,1.6492,1.00628,0.00312
121,hermione,1.6533,1.00780,0.00326
121,hermione,1.6573,1.00447,0.00331
121,hermione,1.6613,1.00485,0.00312
121,hermione,1.6653,1.00342,0.00347
121,hermione,1.6693,1.00133,0.00346
121,hermione,1.6733,1.00086,0.00712
121,hermione,1.6773,1.01597,0.00504
121,hermione,1.6813,1.00932,0.00327
121,hermione,1.6853,1.01112,0.00337
121,hermione,1.6892,1.01017,0.00322
121,hermione,1.6932,1.00818,0.00366
121,hermione,1.6972,1.00447,0.00336
121,hermione,1.7011,1.00485,0.00378
121,hermione,1.7051,1.00418,0.00378
121,hermione,1.7090,1.00437,0.00341
121,hermione,1.7129,1.00095,0.00377
121,hermione,1.7169,1.00181,0.00352
121,hermione,1.7208,1.00494,0.00518
121,hermione,1.7247,1.00694,0.00359
121,hermione,1.7286,1.00342,0.00311
121,hermione,1.7325,1.00675,0.00342
121,hermione,1.7364,1.00466,0.00331
121,hermione,1.7403,1.01055,0.00385
121,hermione,1.7441,1.00685,0.00365
121,hermione,1.7480,1.00295,0.00330
121,hermione,1.7519,1.00219,0.00311
121,hermione,1.7557,1.00314,0.00371
121,hermione,1.7596,0.99677,0.00351
121,hermione,1.7634,1.00057,0.00341
121,hermione,1.7673,0.99449,0.00500
121,hermione,1.7787,0.96701,0.01126
121,hermione,1.7826,0.98498,0.00374
121,hermione,1.7864,0.99648,0.00439
121,hermione,1.7901,0.99011,0.00484
121,hermione,1.7939,0.99040,0.00338
121,hermione,1.7977,0.99087,0.00516
121,hermione,1.8015,0.98916,0.00388
121,hermione,1.8053,0.97956,0.00325
121,hermione,1.8090,0.98393,0.00429
121,hermione,1.8128,0.98022,0.00444
121,hermione,1.8165,0.98859,0.00445
121,hermione,1.8202,0.98346,0.00539
121,hermione,1.8240,0.99477,0.01081
121,hermione,1.8388,0.98365,0.00961
121,hermione,1.8425,0.94789,0.00671
121,hermione,1.8462,0.96263,0.00629
121,hermione,1.8499,0.96805,0.00638
121,hermione,1.8535,0.96121,0.00503
121,hermione,1.8572,0.96197,0.00479
121,hermione,1.8608,0.95921,0.00503
121,hermione,1.8645,0.96872,0.00521
121,hermione,1.8681,0.97205,0.00744
121,hermione,1.8718,0.96739,0.00824
121,hermione,1.8754,0.96111,0.00629
121,hermione,1.8790,0.95255,0.00913
121,hermione,1.8826,0.98431,0.00781
121,hermione,1.8862,0.99192,0.00650
121,hermione,1.8898,0.99002,0.00492
121,hermione,1.8934,0.97708,0.00443
121,hermione,1.8970,0.97043,0.00427
121,hermione,1.9005,0.97556,0.00466
121,hermione,1.9041,0.96558,0.00377
121,hermione,1.9076,0.96159,0.00418
121,hermione,1.9112,0.97052,0.00434
121,hermione,1.9147,0.97319,0.00489
121,hermione,1.9183,0.99876,0.00525
121,hermione,1.9218,0.98707,0.00445
121,hermione,1.9253,0.98032,0.00436
121,hermione,1.9288,0.98051,0.00580
121,hermione,1.9323,0.98308,0.00400
121,hermione,1.9358,0.98193,0.00564
121,hermione,1.9393,0.98735,0.00423
121,hermione,1.9428,0.98650,0.00408
121,hermione,1.9463,0.99582,0.00403
121,hermione,1.9497,0.98878,0.00356
121,hermione,1.9532,0.99401,0.00396
121,hermione,1.9566,0.99030,0.00362
121,hermione,1.9601,0.98840,0.00322
121,hermione,1.9635,0.98526,0.00374
121,hermione,1.9669,0.99239,0.00375
121,hermione,1.9704,0.99163,0.00382
121,hermione,1.9738,0.99677,0.00370
121,hermione,1.9772,0.99201,0.00356
121,hermione,1.9806,0.99429,0.00382
121,hermione,1.9840,0.99220,0.00362
121,hermione,1.9873,0.99525,0.00389
121,hermione,1.9907,0.99182,0.00323
121,hermione,1.9941,0.99487,0.00369
121,hermione,1.9975,0.99458,0.00417
121,hermione,2.0008,0.99610,0.00500
121,hermione,2.0042,0.98802,0.00445
121,hermione,2.0075,0.98441,0.00460
121,hermione,2.0108,0.98517,0.00394
121,hermione,2.0142,0.99078,0.00516
121,hermione,2.0175,0.99429,0.00389
121,hermione,2.0208,0.99525,0.00431
121,hermione,2.0241,0.99696,0.00446
121,hermione,2.0274,1.00713,0.00412
121,hermione,2.0307,0.99857,0.00396
121,hermione,2.0340,0.99990,0.00425
121,hermione,2.0372,0.99563,0.00376
121,hermione,2.0405,0.99724,0.00396
121,hermione,2.0438,0.99686,0.00439
121,hermione,2.0470,0.99601,0.00410
121,hermione,2.0503,0.99981,0.00425
121,hermione,2.0535,0.99791,0.00469
121,hermione,2.0568,0.99506,0.00363
121,hermione,2.0600,0.99705,0.00485
121,hermione,2.0632,0.98479,0.00394
121,hermione,2.0664,0.99429,0.01118
121,hermione,2.0696,0.99544,0.00524
121,hermione,2.0728,0.99496,0.00633
121,hermione,2.0760,0.99534,0.00746
121,hermione,2.0792,0.99686,0.00633
121,hermione,2.0824,0.99886,0.00370
121,hermione,2.0856,1.00048,0.00358
121,hermione,2.0888,0.99591,0.00345
121,hermione,2.0919,1.00276,0.00353
121,hermione,2.0951,0.99867,0.00425
121,hermione,2.0982,0.99791,0.00351
121,hermione,2.1014,0.99715,0.00357
121,hermione,2.1045,0.99724,0.00376
121,hermione,2.1077,0.99163,0.00388
121,hermione,2.1108,0.99249,0.00333
121,hermione,2.1139,0.99163,0.00350
121,hermione,2.1170,0.99249,0.00388
121,hermione,2.1201,0.99144,0.00339
121,hermione,2.1232,0.99429,0.00382
121,hermione,2.1263,0.99211,0.00382
121,hermione,2.1294,0.99781,0.00351
121,hermione,2.1325,0.99572,0.00357
121,hermione,2.1356,0.99857,0.00335
121,hermione,2.1387,0.99933,0.00358
121,hermione,2.1417,1.00171,0.00384
121,hermione,2.1448,0.99353,0.00357
121,hermione,2.1479,0.99496,0.00389
121,hermione,2.1509,0.99620,0.00370
121,hermione,2.1540,0.99810,0.00376
121,hermione,2.1570,0.99325,0.00375
121,hermione,2.1601,0.99962,0.00377
121,hermione,2.1631,1.00742,0.00331
121,hermione,2.1661,1.00637,0.00391
121,hermione,2.1692,1.00466,0.00341
121,hermione,2.1722,1.00932,0.00337
121,hermione,2.1752,1.00409,0.00353
121,hermione,2.1782,1.00019,0.00383
121,hermione,2.1812,0.99458,0.00382
121,hermione,2.1842,1.00190,0.00411
121,hermione,2.1872,0.99667,0.00340
121,hermione,2.1902,0.99648,0.00432
121,hermione,2.1932,0.99971,0.00377
121,hermione,2.1962,0.99914,0.00364
121,hermione,2.1992,0.99791,0.00329
121,hermione,2.2021,0.99563,0.00357
121,hermione,2.2051,0.99981,0.00625
121,hermione,2.2081,0.99857,0.00352
121,hermione,2.2110,0.99506,0.00363
121,hermione,2.2140,0.99867,0.00364
121,hermione,2.2169,0.99753,0.00351
121,hermione,2.2199,1.00247,0.00371
121,hermione,2.2229,1.00076,0.00377
121,hermione,2.2258,1.00000,0.00411
121,hermione,2.2287,0.99962,0.00370
